"< 5kn"
">20kn"
"10-15kn"
"15-20kn"
"5-10kn"
"Albacore Angler"
"Albacore Assaulter"
"Amberjack Assaulter"
"American Eel Enthusiast"
"Anchovy Assaulter"
"Aquatic Angler"
"Aquatic Pursuit"
"Arctic Grayling Angler"
"Atlantic Blue Marlin Marauder"
"Atlantic Cod Catcher"
"Baited Breath"
"Barracuda Baiter"
"Barracuda Bandit"
"Bass Baiter"
"Bass Bandit"
"Bigeye Tuna Bandit"
"Bigeye Tuna Buccaneer"
"Black Bullhead Bandit"
"Black Drum Bandit"
"Blue Catfish Catcher"
"Blue Marlin Bandit"
"Bluefin Tuna Bandit"
"Bluefish Bandit"
"Bluegill Bandit"
"Bonefish Baiter"
"Bream Bandit"
"Brill Bandit"
"Brine Buccaneer"
"Brook Trout Buccaneer"
"Brown Bullhead Brigand"
"Brown Trout Bandit"
"Buoy"
"Burbot Bandit"
"Carp Capturer"
"Carp Catcher"
"Catch Cruiser"
"Catfish Capturer"
"Chain Pickerel Plunderer"
"Channel Catfish Capturer"
"Chum Salmon Catcher"
"Clam Catcher"
"Clam Claimer"
"Cobia Capturer"
"Cod Catcher"
"Cod Table"
"Codfather"
"Coho Salmon Capturer"
"Costa Smeralda"
"Crab Catcher"
"Crappie Capturer"
"Cutthroat Trout Catcher"
"Deepsea Drifter"
"Dolphin Dasher"
"Don Limpet Preserve"
"Ecological Preserve"
"Eel Ensnarer"
"Eel Enthusiast"
"European Eel Enthusiast"
"European Perch Pirate"
"European Seabass Buccaneer"
"Exit East"
"Fish Finder"
"Fish Flinger"
"Fish Tracker"
"Fishing Ground"
"Flathead Catfish Finder"
"Flounder Finder"
"Fluke Finder"
"Ghoti Preserve"
"Golden Trout Grabber"
"Goldfish Grabber"
"Grass Pickerel Gangster"
"Grayling Grabber"
"Grouper Grabber"
"Gurnard Grabber"
"Haacklee"
"Haddock Hawk"
"Haddock Hunter"
"Halibut Hero"
"Halibut Hunter"
"Harbour"
"Herring Harpooner"
"Herring Hunter"
"Himark"
"Hook, Line & Sinker"
"Huron"
"King Salmon King"
"Kingfish Capturer"
"Kingfisher"
"Ladyfish Looter"
"Lake Trout Looter"
"Largemouth Bass Looter"
"Lobster Looter"
"Lomark"
"Longfin Tuna Looter"
"Longnose Sucker Seeker"
"Mackerel Marauder"
"Mackerel Mariner"
"Mackerel Master"
"Mahi-Mahi Master"
"Malta"
"Marine Marauder"
"Mariner's Mate"
"Marlin Master"
"Muskellunge Marauder"
"Muskellunge Master"
"Mussel Marauder"
"Mussel Master"
"Nav 1"
"Nav 2"
"Nav 3"
"Nav A"
"Nav B"
"Nav C"
"Nav D"
"Nav E"
"Nemo Reef"
"Neptune's Net"
"Northern Pike Pirate"
"Ocean Oracle"
"Ocean Reaper"
"Ophelia"
"Oyster Opener"
"Paackland"
"Pacific Cod Capturer"
"Perch Plunderer"
"Perch Pursuer"
"Pike Pirate"
"Pike Plunderer"
"Pink Salmon Pirate"
"Plaice Pirate"
"Plaice Plunderer"
"Pollock Pirate"
"Pompano Plunderer"
"Posiedon's Paradise"
"Prawn Predator"
"Rainbow Trout Raider"
"Redfin Pickerel Raider"
"Redfish Raider"
"Roach Raider"
"Roach Robber"
"Rudd Raider"
"Sailfish Seeker"
"Sailfish Swindler"
"Salmon Seeker"
"Salmon Snatcher"
"Salty Skipper"
"Sardine Seeker"
"Sea Bass Bandit"
"Sea Hunter"
"Sea Serpent"
"Sea Siren"
"Sea Swindler"
"Seabream Seeker"
"Shark Shooter"
"Shrimp Shooter"
"Skipjack Tuna Seeker"
"Skipjack Tuna Taker"
"Snapper Snatcher"
"Snook Snatcher"
"Sockeye Salmon Seeker"
"Sole Seeker"
"South Paackland"
"Spanish Mackerel Master"
"Speckled Trout Saboteur"
"Squid Squad"
"Squid Squasher"
"Steelhead Stalker"
"Striped Bass Seeker"
"Swimming Safely"
"Swordfish Saboteur"
"Swordfish Swindler"
"Tarpon Taker"
"Tautog Taker"
"Tench Taker"
"Tide Tamer"
"Tiger Muskellunge Master"
"Trawler Triumph"
"Trout Tracker"
"Tuna Shelf"
"Tuna Taker"
"Tuna Trawler"
"Turbot Taker"
"Wahoo Warrior"
"Wahoo Wrangler"
"Walleye Wrangler"
"Wave Warrior"
"Wave Wrangler"
"Weakfish Wrangler"
"Wels Catfish Wrangler"
"Whelk Wrangler"
"White Marlin Master"
"White Marlin Wrangler"
"White Sucker Wrangler"
"Whitefish Whisperer"
"Whitefish Wrangler"
"Whiting Wrangler"
"Wrasse Beds"
"Yellow Bullhead Buccaneer"
"Yellow Perch Pirate"
"Yellowfin Tuna Taker"
"Zander Zealot"
